"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SBIN","EQ","08-Jan-2024","641.95","640.00","645.00","625.05","627.90","627.00","633.49","1,47,39,531","9,33,73,25,175.95","3,36,839","68,36,375","46.38"
"SBIN","EQ","09-Jan-2024","627.00","632.00","634.35","624.50","625.95","625.40","629.70","1,34,00,235","8,43,80,88,899.05","2,36,123","54,99,185","41.04"
"SBIN","EQ","10-Jan-2024","625.40","624.80","625.30","618.20","622.00","621.75","622.15","1,27,42,464","7,92,76,74,893.10","2,13,657","71,78,612","56.34"
"SBIN","EQ","11-Jan-2024","621.75","626.00","627.15","618.50","621.25","620.20","621.85","1,55,33,860","9,65,97,92,551.10","2,84,550","99,49,858","64.05"
"SBIN","EQ","12-Jan-2024","620.20","623.80","636.50","621.10","635.25","633.60","630.54","1,66,20,797","10,48,01,04,627.65","3,02,558","80,21,953","48.26"
